No,column_en,type,column_zh,description,alias_zh,alias_en
1,brand,,品牌,Brand name or manufacturer of the product.,"厂商, 品牌商, 制造者, 厂家","Manufacturer,Brand Name,Maker,Producer"
2,color,,颜色,Color of the product.,"色彩, 外壳颜色, 外观色彩, 外观","Hue,Tint,Shade"
3,compatible_os,,兼容操作系统,Operating systems the product is compatible with.,"支持的OS, 兼容系统, 兼容平台","OS Compatibility,Supported Operating Systems,Operating System Support"
4,cpu_brand,,cpu品牌,Brand of the central processing unit (CPU).,"处理器制造商, CPU制造商, 中央处理器制造商","Processor Manufacturer,CPU Maker,Central Processing Unit Brand"
5,cpu_core_number,,cpu个数,Number of cores in the CPU.,"核心数, 处理器核心数, CPU核数","Number of CPU Cores,CPU Cores,Processor Count"
6,cpu_main_frequency,,cpu主频,Primary operating frequency of the CPU.,"处理器速率, 处理器频率, CPU频率","CPU Clock Speed,Processor Frequency,CPU Speed"
7,depth,,长,Length of the product.,"长度, 长度尺寸, 长尺寸, 长宽高","Lengthwise Measurement,Longitudinal Dimension,Length Dimension"
8,disk_capacity,,硬盘容量,Storage capacity of the disk.,"存储空间, 存储大小, 硬盘大小, 存储容量","Storage Capacity,Disk Space,Storage Size"
9,disktype,,硬盘类型,"Type of storage disk, such as HDD or SSD.","存储介质, 硬盘规格, 存储设备类型","Storage Media,Disk Type,Drive Format"
10,foldability,,可折叠性,Capability of the product to fold.,"折叠设计, 可折叠设计, 折叠功能","Folding Capability,Foldable Feature,Foldability Option"
11,goods_status,,在售状态,Current selling status of the product.,"销售状态, 销售情况, 可购买状态","Availability Status,Sale Status,Stock Status"
12,gpu_brand,,gpu品牌,Brand of the graphics processing unit (GPU).,"显卡制造商, GPU制造商, 图形处理器制造商","Graphics Card Manufacturer,GPU Maker,Video Card Brand"
13,gpu_series,,gpu系列,Series or model of the GPU.,"显卡系列, GPU系列, 图形处理器系列","Graphics Card Series,GPU Line,Video Card Family"
14,height,,高,Height of the product.,"高度, 设备高度, 产品高度, 高度尺寸","Height Measurement,Vertical Dimension,Tallness"
15,intelligence,,智能性,Level of intelligence or smart features of the product.,"智能功能, 智能特性, 智能化程度","Smart Features,Intelligence Level,Smart Capabilities"
16,max_memory_capacity,,最大内存容量(T),Maximum memory capacity for expansion.,"内存最大容量（TB）, 内存上限容量, 最大内存空间","Maximum RAM Capacity,Top Memory Limit,Maximum Memory Size"
17,memory_brand,,内存品牌,Brand of the memory module.,"内存制造商, 内存厂家, 内存品牌","RAM Manufacturer,Memory Maker,RAM Brand"
18,memory_capacity,,内存容量(T),Capacity of the memory module.,"内存容量（TB）, 内存大小, 内存容量","Memory Capacity,RAM Size,Memory Volume"
19,memory_slot_number,,内存槽个数,Number of available memory slots on the motherboard.,"内存插槽数量, 内存插槽数量, 内存槽数量","Number of RAM Slots,Memory Slot Count,RAM Slot Quantity"
20,memory_type,,内存类型,"Type of memory module, such as DDR4.","内存规格, 内存种类, 内存技术","Memory Format,RAM Style,Memory Category"
21,motherboard_brand,,主板品牌,Brand of the motherboard.,"主板制造商, 主板生产商, 主板品牌","Motherboard Manufacturer,Mobo Maker,Mainboard Brand"
22,motherboard_type,,主板类型,Type or specification of the motherboard.,"主板规格, 主板种类, 主板型号","Motherboard Format,Mainboard Style,Mobo Category"
23,mtm_number,,产品编码,Model or code number of the product.,"商品编号, 产品编号, 商品编码, 产品编码","Item Code,Product ID,Stock Code"
24,os,,操作系统,Operating system pre-installed on the product.,"预装系统, 操作系统版本, 预装操作系统","Operating System Version,OS Type,System Software"
25,pre_installed_software,,预装软件,Software pre-installed on the product.,"预装应用, 预装软件套件, 预装应用程序","Pre-installed Applications,Bundled Software,Preloaded Programs"
26,price,,价格,Price of the product.,"单价, 售价, 价格标签, 产品价格","Cost,Price Tag,Retail Price"
27,product_cate1,,产品分类,Major category to which the product belongs.,"商品类型, 商品分类, 产品种类, 类别","Merchandise Category,Item Classification,Product Group"
28,product_cate2,,一级子类,First-level subcategory of the product.,"主分类, 一级分类, 大类, 主要类别","Primary Subcategory,Main Category,Primary Division"
29,product_item_name,,二级子类,Specific subcategory of the product.,"次级分类, 二级类别, 子类, 次要类别","Secondary Subcategory,Subdivision,Secondary Division"
30,product_name,,产品名,Name of the product.,"商品名称, 产品名称, 产品型号, 商品型号","Item Name,Product Title,Merchandise Name"
31,ram,,ram,Random Access Memory (RAM) capacity of the product.,"内存大小, RAM大小, 内存容量, 内存量","Random Access Memory,RAM Size,Memory Module"
32,rom,,rom,Read-Only Memory (ROM) capacity of the product.,"存储大小, ROM大小, 存储容量, 存储量","Read-Only Memory,ROM Size,Storage Module"
33,scene,,场景,Usage scenes applicable to the product.,"使用场景, 应用场景, 设备应用场景, 使用情景","Usage Environment,Application Context,Utilization Scenario"
34,screen_display_ratio,,分辨率,Display ratio of the screen.,"屏幕分辨率, 显示分辨率, 分辨率标准, 分辨率大小","Screen Resolution,Display Clarity,Pixel Density"
35,screen_size,,屏幕尺寸,Diagonal size of the screen.,"屏幕大小, 显示器尺寸, 屏幕尺寸, 显示尺寸","Screen Size,Display Dimensions,Monitor Size"
36,screen_type,,屏幕类型,"Technology type of the screen, such as LCD or OLED.","显示屏类型, 屏幕技术, 显示技术, 显示屏种类","Display Technology,Screen Style,Monitor Type"
37,series,,系列,Series or model series to which the product belongs.,"产品系列, 系列型号, 系列产品, 产品系列","Product Line,Model Series,Brand Series"
38,service_description,,提供的远程服务,Description of remote services provided with the product.,"远程支持, 远程服务, 远程协助, 远程帮助","Remote Assistance Offered,Remote Support Options,Distance Support Provided"
39,size,,尺寸,Size dimensions of the product.,"外形尺寸, 尺寸规格, 设备尺寸, 产品尺寸","Dimensions,Size Specifications,Measurements"
40,sound_card_type,,声卡类型,Type or specification of the sound card.,"音频设备类型, 声音卡类型, 音频规格, 音频接口类型","Audio Card Format,Sound Device Style,Audio Interface Type"
41,stock_number,,库存,Current stock quantity of the product.,"存货量, 库存量, 库存数量, 存量","Stock,Inventory Levels,Quantity on Hand"
42,target_audience,,目标用户,Target demographic for the product.,"使用对象, 目标客户, 使用者群体, 使用用户","Target Audience,Intended Users,Customer Demographic"
43,time_to_market,,上市时间,Time when the product was released for sale.,"发售日期, 发布时间, 上市日期, 发售时间","Launch Date,Release Time,Introduction Date"
44,url,,链接,Web link or URL of the product.,"商品链接, 产品链接, 页面链接, 购买链接","URL,Web Address,Hyperlink"
45,video_card_type,,视频卡类型,Type or specification of the video card.,"显示设备类型, 图形卡类型, 显卡类型, 显示器类型","Video Graphics Card Style,Display Adapter Type,Graphics Card Category"
46,width,,宽,Width of the product.,"宽度, 设备宽度, 产品宽度, 宽度尺寸","Width Measurement,Horizontal Dimension,Broadness"
