uid,brand,color,cpu_brand,cpu_core_number,cpu_main_frequency,depth,disk_capacity,disktype,foldability,goods_status,gpu_brand,gpu_series,height,intelligence,max_memory_capacity,memory_capacity,memory_slot_number,memory_type,mtm_number,os,pre_installed_software,product_cate1,product_cate2,product_item_name,product_name,ram,rom,scene,screen_size,screen_type,series,service_description,size,stock_number,target_audience,url,video_card_type,width
100001,联想,,,,,,,移动硬盘,,上架,,,,智能数码,,1,,,GXB0H43289,,,电脑配套设备,电脑组件,硬盘,联想+usb3.0+移动硬盘f309+灰+1tb,,,,,,,,,0,,https://item.lenovo.com.cn/product/48474.html,,
100002,联想,,,,,,,,,上架,,,,,,,,,GX40K27873,,,礼品箱包,包,背包,联想笔记本单肩包鼠套装tm200,,,,,,,,,0,,https://item.lenovo.com.cn/product/48070.html,,
100003,联想,黑色,,,,,,,,下架,,,,,,,,,43001850,,,综合办公用品,办公耗材,硒鼓,联想+ld201黑色原装硒鼓+(适用于lj2205/+m7206等睿省系列产品）,,,办公,,,,,,0,商务人士,https://item.lenovo.com.cn/product/50445.html,,
100004,联想,,,,,,,,,下架,,,,,,,,,43001663,,,综合办公用品,办公耗材,墨盒,联想lt2641h原装专用墨粉(适用于2650dn/m7650df/650dnf打印机),,,,,,,,,24,,https://item.lenovo.com.cn/product/50450.html,,
100005,联想,,,,,,,,,下架,,,,,,,,,43001661,,,综合办公用品,办公耗材,硒鼓,联想ld2441硒鼓(适用lj2400t+lj2400+m7400+m7450f打印机),,,,,,,,,11,,https://item.lenovo.com.cn/product/50448.html,,
100006,联想,黑色,,,,,,,,下架,,,,,,,,,43001505,,,综合办公用品,办公耗材,硒鼓,联想ld2922黑色硒鼓（适用m7205/m7250/m7250n/m7260/m7215打印机）,,,,,,,,,14,,https://item.lenovo.com.cn/product/50457.html,,
100007,,,,,,,,固态硬盘,,下架,,,,,,,,,31069117,,,电脑配套设备,电脑组件,硬盘,1tb固态硬盘升级服务sata3,,,,,,,,,16,,https://item.lenovo.com.cn/product/51612.html,,
100008,,,,,,,,固态硬盘,,下架,,,,,,,,,31070553,,,电脑配套设备,电脑组件,硬盘,128g固态硬盘升级服务ngff(80mm单面),,,,,,,,,0,,https://item.lenovo.com.cn/product/51555.html,,
100009,联想,,,,,,,,,下架,,,,,,,,,31056964,,,电脑配套设备,电脑组件,光驱,lenovo+12.7mm光驱托架,,,,,,,,,0,,https://item.lenovo.com.cn/product/51625.html,,
100010,,,,,,,,固态硬盘,,下架,,,,,,,,,31069115,,,电脑配套设备,电脑组件,硬盘,512g固态硬盘升级服务msata,,,,,,,,,18,,https://item.lenovo.com.cn/product/51608.html,,
100011,联想,,,,,,,,,上架,,,,,,,,,38013662,,,服务,电脑服务,电脑加速,【lenovo+专家1对1】电脑加速,,,,,,,"开机加速,系统加速,网络加速，本服务通过远程控制桌面进行操作",,32767,,https://item.lenovo.com.cn/product/51639.html,,
100012,联想,,,,,,,,,上架,,,,,,,,,38014239,,,服务,电脑服务,电脑加速,【lenovo+专家1对1】游戏加速,,,,,,,"网络提速,游戏优化,故障排除。本服务通过远程控制桌面进行操作，购买咨询4008901566。",,32767,,https://item.lenovo.com.cn/product/51642.html,,
100013,联想,,,,,,,,,上架,,,,,,,,,38014236,,,服务,电脑服务,安装,【lenovo+专家1对1】驱动安装,,,,,,,"驱动安装,驱动修复,驱动备份，本服务通过远程控制桌面进行操作",,32767,,https://item.lenovo.com.cn/product/51640.html,,
100014,,,,,,,,,,下架,,,,,,,,,38014237,,,服务,电脑服务,新机开荒,【lenovo+专家1对1】新机开荒,,,办公,,,,新机硬盘分区，新机安全防护，新机常用软件下载安装，驱动安装。注：如需安装付费软件，请提供安装介质。本服务通过远程控制桌面进行操作，购买咨询4008901566。,,844,商务人士,https://item.lenovo.com.cn/product/51644.html,,
100015,联想,,,,,,,,,上架,,,,,,,,,38013664,,,服务,电脑服务,维修检测,lenovo+专家1对1-上门服务,,,,,,,上门服务，为您进行系统安装、网络设置、软件调试等软件服务，全国2400+售后服务支持（如需安装付费软件，请提供安装介质）,,32767,,https://item.lenovo.com.cn/product/51641.html,,
100016,联想,,,,,,,,,上架,,,,,,,,,38014238,,,服务,电脑服务,浏览器修复,【lenovo+专家1对1】浏览器修复,,,,,,,"恢复网络连接,异常问题修复,恶意软件清除，本服务通过远程控制桌面进行操作",,32767,,https://item.lenovo.com.cn/product/51645.html,,
100017,联想,,,,,,,,,上架,,,,,,,,,38013663,,,服务,电脑服务,维修检测,【lenovo+专家1对1】应用指导,,,,,,,"安装下载,使用指导,技巧提示（如需安装付费软件，请提供安装介质），本服务通过远程控制桌面进行操作。",,32767,,https://item.lenovo.com.cn/product/51643.html,,
100018,,,,,,,,,,上架,,,,,,,,,dongde1463476936044,,,其他,其他,其他,糖豆儿,,,,,,,,,0,,https://item.lenovo.com.cn/product/51897.html,,
