table_name,column_name,name,name_zh,desc,desc_zh,alias,alias_zh,type,length
transaction,,e-commerce transaction data,,,,,,,
,统计日期,,,,,,,,
,PC端访客数,,,,,,,,
,PC端浏览量,,,,,,,,
,访客数,,,,,,,,
,无线端访客数,,,,,,,,
,浏览量,,,,,,,,
,无线端浏览量,,,,,,,,
,商品访客数,,,,,,,,
,无线端商品访客数,,,,,,,,
,PC端商品访客数,,,,,,,,
,商品浏览量,,,,,,,,
,无线端商品浏览量,,,,,,,,
,PC端商品浏览量,,,,,,,,
,平均停留时长,,,,,,,,
,无线端平均停留时长,,,,,,,,
,PC端平均停留时长,,,,,,,,
,跳失率,,,,,,,,
,无线端跳失率,,,,,,,,
,PC端跳失率,,,,,,,,
,商品收藏买家数,,,,,,,,
,无线端商品收藏买家数,,,,,,,,
,PC端商品收藏买家数,,,,,,,,
,商品收藏次数,,,,,,,,
,无线端商品收藏次数,,,,,,,,
,PC端商品收藏次数,,,,,,,,
,加购人数,,,,,,,,
,无线端加购人数,,,,,,,,
,PC端加购人数,,,,,,,,
,支付金额,,,,,,,,
,PC端支付金额,,,,,,,,
,无线端支付金额,,,,,,,,
,支付买家数,,,,,,,,
,PC端支付买家数,,,,,,,,
,无线端支付买家数,,,,,,,,
,支付子订单数,,,,,,,,
,PC端支付子订单数,,,,,,,,
,无线端支付子订单数,,,,,,,,
,支付件数,,,,,,,,
,PC端支付件数,,,,,,,,
,无线端支付件数,,,,,,,,
,下单金额,,,,,,,,
,PC端下单金额,,,,,,,,
,无线端下单金额,,,,,,,,
,下单买家数,,,,,,,,
,PC端下单买家数,,,,,,,,
,无线端下单买家数,,,,,,,,
,下单件数,,,,,,,,
,PC端下单件数,,,,,,,,
,无线端下单件数,,,,,,,,
,人均浏览量,,,,,,,,
,PC端人均浏览量,,,,,,,,
,无线端人均浏览量,,,,,,,,
,下单转化率,,,,,,,,
,PC端下单转化率,,,,,,,,
,无线端下单转化率,,,,,,,,
,支付转化率,,,,,,,,
,PC端支付转化率,,,,,,,,
,无线端支付转化率,,,,,,,,
,客单价,,,,,,,,
,PC端客单价,,,,,,,,
,无线端客单价,,,,,,,,
,UV价值,,,,,,,,
,PC端UV价值,,,,,,,,
,无线端UV价值,,,,,,,,
,老访客数,,,,,,,,
,新访客数,,,,,,,,
,无线端老访客数,,,,,,,,
,无线端新访客数,,,,,,,,
,PC端老访客数,,,,,,,,
,PC端新访客数,,,,,,,,
,加购件数,,,,,,,,
,PC端加购件数,,,,,,,,
,无线端加购件数,,,,,,,,
,支付老买家数,,,,,,,,
,PC端支付老买家数,,,,,,,,
,无线端支付老买家数,,,,,,,,
,老买家支付金额,,,,,,,,
,直通车消耗,,,,,,,,
,钻石展位消耗,,,,,,,,
,淘宝客佣金,,,,,,,,
,成功退款金额,,,,,,,,
,评价数,,,,,,,,
,有图评价数,,,,,,,,
,正面评价数,,,,,,,,
,负面评价数,,,,,,,,
,老买家正面评价数,,,,,,,,
,老买家负面评价数,,,,,,,,
,支付父订单数,,,,,,,,
,揽收包裹数,,,,,,,,
,发货包裹数,,,,,,,,
,派送包裹数,,,,,,,,
,签收成功包裹数,,,,,,,,
,平均支付_签收时长(秒),,,,,,,,
,描述相符评分,,,,,,,,
,物流服务评分,,,,,,,,
,服务态度评分,,,,,,,,
,下单-支付转化率,,,,,,,,
,PC端下单-支付转化率,,,,,,,,
,无线端下单-支付转化率,,,,,,,,
,支付商品数,,,,,,,,
,PC端支付商品数,,,,,,,,
,无线端支付商品数,,,,,,,,
,店铺收藏买家数,,,,,,,,
,PC端店铺收藏买家数,,,,,,,,
,无线端店铺收藏买家数,,,,,,,,
,,,,,,,,,
